
!EXCLAMATION-POINT  EH K - S K L AH - M EY - SH AH N - P OY N T
WOLF'S  W UH L F S
WOLFARTH  W UH L - F AA R TH
WOLFE'S  W UH L F S
WOLFENDEN  W UH L - F EH N - D AH N
WOLFENSCHMIDT  W UH L - F AH N SH - M IH T
WOLFENSOHN  W UH L - F AH N - S AH N
WOLFER  W UH L - F ER
WOLFERT  W UH L - F ER T
WOLFF  W UH L F
WOLFGANG  W UH L F - G AE NG
WOLFGRAM  W UH L F - G R AE M
WOLFINBARGER  W UH L - F IH N - B AA R - G ER
WOLFLEY  W UH L F - L IY
WOLFMAN  W UH L F - M AH N
WOLFORD  W OW L - F ER D
WOLFRAM  W UH L - F R AE M
WOLFREY  W UH L - F R IY
WOLFROM  W UH L - F R AH M
WOLFSBURG  W UH L F S - B ER G
WOLFSON  W UH L F - S AH N
WOLGAMOTT  W OW L - G AH - M AA T
WOLGEMUTH  W OW L - G IH - M UW TH
WOLIN  W OW - L IH N
WOLINSKI  V AH - L IH N - S K IY
WOLINSKY  V AH - L IH N - S K IY
WOLITARSKY  W OW - L IH - T AA R S - K IY
WOLK  W OW K
WOLKE  W OW L K
WOLKEN  W OW - K AH N
WOLKEN()  W AO L - K AH N
WOLKOFF  W OW L - K AO F
WOLL  W AA L
WOLLACK  W AA - L AH K
WOLLAM  W AA - L AH M
WOLLARD  W AA - L ER D
WOLLE  W AA L
WOLLENBERG  W AA - L AH N - B ER G
WOLLENWEBER  W AA - L IH N - W IH - B ER
WOLLIN  W AA - L IH N
WOLLMAN  W AA L - M AH N
WOLLNER  W AA L - N ER
WOLLSCHLAGER  W AA L SH - L EY - G ER
WOLMAN  W AA L - M AH N
WOLOHAN  W AA - L AH - HH AE N
WOLOSZYN  V AH - L AA - SH IH N
WOLPE  W OW L - P IY
WOLPER  W OW L - P ER
WOLPERT  W OW L - P ER T
WOLSEY  W OW L - S IY
WOLSFELD  W OW L Z - F EH L D
WOLSKE  W OW L S K
WOLSKI  V OW L S - K IY
WOLSKY  V OW L S - K IY
WOLSTENHOLME  W OW L - S T IH N - HH OW L M
WOLTER  W OW L - T ER
WOLTERS  W OW L - T ER Z
WOLTZ  W OW L T S
WOLVEN  W UH L - V AH N
WOLVERINE  W UH L - V ER - IY N
WOLVERINE'S  W UH L - V ER - IY N Z
WOLVERTON  W UH L - V ER - T AH N
WOLVES  W UH L V Z
WOLZ  W OW L Z
WOMACK  W OW - M AE K
WOMAN  W UH - M AH N
WOMAN'S  W UH - M AH N Z
WOMANHOOD  W UH - M AH N - HH UH D
WOMANIZE  W UH - M AH - N AY Z
WOMANIZER  W UH - M AH - N AY - Z ER
WOMANIZING  W UH - M AH - N AY - Z IH NG
WOMB  W UW M
WOMBACHER  W AA M - B AA - K ER
WOMBAT  W AA M - B AE T
WOMBATS  W AA M - B AE T S
WOMBLES  W AA M - B AH L Z
WOMEN  W IH - M AH N
WOMENS'  W IH - M AH N Z
WOMER  W OW - M ER
WOMETCO  W OW - M EH T - K OW
WOMMACK  W AA - M AH K
WON  W AH N
WON'T  W OW N T
WON()  W AA N
WONDER'S  W AH N - D ER Z
WONDERED  W AH N - D ER D
WONDERFUL  W AH N - D ER - F AH L
WONDERFULLY  W AH N - D ER - F AH - L IY
WONDERFULNESS  W AH N - D ER - F AH L - N AH S
WONDERLY  W AH N - D ER - L IY
WONDERMENT  W AH N - D ER - M AH N T
WONDERS  W AH N - D ER Z
WONDRA  W AA N - D R AH
WONDROUS  W AH N - D R AH S
WONG  W AO NG
WONG'S  W AO NG Z
WONK  W AA N K
WONT  W OW N T
WOO  W UW
WOO'S  W UW Z
WOOD'S  W UH D Z
WOODALL  W UH - D AO L
WOODARD  W UH - D ER D
WOODBERRY  W UH D - B EH - R IY
WOODBRIDGE  W UH D - B R IH JH
WOODBURN  W UH D - B ER N
WOODBURY  W UH D - B EH - R IY
WOODBY  W UH D - B IY
WOODCARVER  W UH D - K AA R - V ER
WOODCHIP  W UH D - CH IH P
WOODCHIPS  W UH D - CH IH P S
WOODCHUCK  W UH D - CH AH K
WOODCLIFF  W UH D - K L IH F
WOODCOX  W UH D - K AA K S
WOODDELL  W UH - D AH L
WOODED  W UH - D IH D
WOODEN  W UH - D AH N
WOODFIELD  W UH D - F IY L D
WOODFILL  W UH D - F IH L
WOODFORD  W UH D - F ER D
WOODFORK  W UH D - F ER K
WOODHALL  W UH D - HH AO L
WOODHAMS  W UH D - HH AH M Z
WOODHEAD  W UH D - HH EH D
WOODHOUSE  W UH D - HH AW S
WOODHULL  W UH D - HH AH L
WOODING  W UH - D IH NG
WOODINGTON  W UH - D IH NG - T AH N
WOODKE  W UH D - K IY
WOODLAND  W UH D - L AE N D
WOODLAND()  W UH D - L AH N D
WOODLANDS  W UH D - L AE N D Z
WOODLANDS()  W UH D - L AH N D Z
WOODLE  W UH - D AH L
WOODLEE  W UH D - L IY
WOODLEY  W UH D - L IY
WOODLIEF  W UH D - L IY F
WOODLIFF  W UH D - L IH F
WOODLING  W UH D - L IH NG
WOODLOCK  W UH D - L AA K
WOODLOT  W UH D - L AA T
WOODMAC  W UH D - M AE K
WOODMAN  W UH D - M AH N
WOODPECKERS  W UH D - P EH - K ER Z
WOODRICH  W UH D - R IH CH
WOODRICK  W UH - D R IH K
WOODRING  W UH D - R IH NG
WOODROME  W UH - D R AH M
WOODROOF  W UH D - R UW F
WOODROW  W UH - D R OW
WOODRUFF  W UH - D R AH F
WOODRUM  W UH - D R AH M
WOODS  W UH D Z
WOODSHED  W UH D - SH EH D
WOODSIDE  W UH D - S AY D
WOODSMALL  W UH D - S M AO L
WOODSMAN  W UH D Z - M AE N
WOODSMEN  W UH D Z - M AH N
WOODSTOCK  W UH D - S T AA K
WOODWARD'S  W UH D - W ER D Z
WOODWARD()  W UH D - W ER D
WOODWIND  W UH D - W IH N D
WOODWORK  W UH D - W ER K
WOODWORKER  W UH D - W ER - K ER
WOODWORKERS  W UH D - W ER - K ER Z
WOODWORKING  W UH D - W ER - K IH NG
WOODWORTH  W UH D - W ER TH
WOODY'S  W UH - D IY Z
WOODYARD  W UH D - Y AA R D
WOOED  W UW D
WOOFTER  W UW F - T ER
WOOGIE  W UW - G IY
WOOGIE()  W UH - G IY
WOOING  W UW - IH NG
WOOL  W UH L
WOOLARD  W UH - L ER D
WOOLBRIGHT  W UH L - B R AY T
WOOLCO  W UH L - K OW
WOOLDRIDGE  W UH L - D R IH JH
WOOLEN  W UH - L AH N
WOOLENS  W UH - L AH N Z
WOOLERY  W UH - L ER - IY
WOOLEVER  W UH L - EH - V ER
WOOLEY  W UH - L IY
WOOLF  W UH L F
WOOLFOLK  W UH L - F OW K
WOOLFORD  W UH L - F ER D
WOOLLARD  W UH - L ER D
WOOLLEN  W UH - L AH N
WOOLLEY  W UH - L IY
WOOLLY  W UH - L IY
WOOLMAN  W UH L - M AH N
WOOLRIDGE  W UH L - R IH JH
WOOLS  W UH L Z
WOOLSEY  W UH L - Z IY
WOOLSEY'S  W UH L - Z IY Z
WOOLSON  W UH L - S AH N
WOOLUM  W UH - L AH M
WOOLUMS  W UH - L AH M Z
WOOLVERTON  W UH L - V ER - T AH N
WOOLWORTH  W UH L - W ER TH
WOOLWORTH'S  W UH L - W ER TH S
WOOLY  W UH - L IY
WOOMER  W UW - M ER
WOONG  W UW NG
WOOSLEY  W UW Z - L IY
WOOSTER  W UW - S T ER
WOOTAN  W UW - T AH N
WOOTEN  W UW - T AH N
WOOTERS  W UW - T ER Z
WOOTON  W UW - T AH N
WOOTTEN  W UW - T AH N
WOOTTON  W UW - T AH N
WOOZY  W UW - Z IY
WOP  W AA P
WOPS  W AA P S
WOR  W AO R
WOR()  D AH - B EH L - Y UW - OW - AA R
WOR(3)  D AH - B AH - Y UW - OW - AA R
WORCESTER  W UH - S T ER
WORD'S  W ER D Z
WORDED  W ER - D IH D
WORDEN  W ER - D AH N
WORDING  W ER - D IH NG
WORDLESS  W ER D - L AH S
WORDPERFECT  W ER D - P ER - F EH K T
WORDS  W ER D Z
WORDSMITH  W ER D - S M IH TH
WORDSTAR  W ER D - S T AA R
WORDSWORTH  W ER D Z - W ER TH
WORE  W AO R
WORK'S  W ER K S
WORKABLE  W ER - K AH - B AH L
WORKADAY  W ER - K AH - D EY
WORKAHOLIC  W ER - K AH - HH AA - L IH K
WORKAHOLICS  W ER - K AH - HH AA - L IH K S
WORKBENCH  W ER K - B EH N CH
WORKDAY  W ER K - D EY
WORKED  W ER K T
WORKER'S  W ER - K ER Z
WORKERS  W ER - K ER Z
WORKFARE  W ER K - F EH R
WORKFORCE  W ER K - F AO R S
WORKGROUP  W ER K - G R UW P
WORKGROUPS  W ER K - G R UW P S
WORKHORSE  W ER K - HH AO R S
WORKHORSES  W ER K - HH AO R - S IH Z
WORKIN'  W ER - K AH N
WORKING  W ER - K IH NG
WORKINGER  W ER - K IH - NG ER
WORKINGS  W ER - K IH NG Z
WORKLOAD  W ER K - L OW D
WORKLOADS  W ER K - L OW D Z
WORKMANSHIP  W ER K - M AH N - SH IH P
WORKMEN  W ER K - M IH N
WORKMEN'S  W ER K - M AH N Z
WORKOUT  W ER K - AW T
WORKOUTS  W ER K - AW T S
WORKPLACES  W ER K - P L EY - S IH Z
WORKROOM  W ER K - R UW M
WORKS  W ER K S
WORKS'  W ER K S
WORKSHEET  W ER K - SH IY T
WORKSHEETS  W ER K - SH IY T S
WORKSHOP  W ER K - SH AA P
WORKSHOPS  W ER K - SH AA P S
WORKSTATION  W ER K - S T EY - SH AH N
WORKSTATIONS  W ER K - S T EY - SH AH N Z
WORKWEEK  W ER K - W IY K
WORKWEEKS  W ER K - W IY K S
WORLAND  W ER - L AH N D
WORLCO  W ER L - K OW
WORLD  W ER L D
WORLD'S  W ER L D Z
WORLDCOM  W ER L D - K AA M
WORLDCORP  W ER L D - K AO R P
WORLDER  W ER L - D ER
WORLDERS  W ER L - D ER Z
WORLDLINESS  W ER L D - L IY - N AH S
WORLDLY  W ER L D - L IY
WORLDPASS  W ER L D - P AE S
WORLDS  W ER L D Z
WORLDSPAN  W ER L D - S P AE N
WORLDWIDE'S  W ER L D - W AY D Z
WORLEY  W ER - L IY
WORM'S  W ER M Z
WORMAN  W ER - M AH N
WORMINGTON  W ER - M IH NG - T AH N
WORMLIKE  W ER M - L AY K
WORMS  W ER M Z
WORMSER  W ER M - Z ER
WORMWOOD  W ER M - W UH D
WORN  W AO R N
WORNER  W AO R - N ER
WORONOFF  W AO - R AH - N AO F
WORREL  W ER - R AH L
WORRELL  W ER - R AH L
WORRIED  W ER - IY D
WORRIERS  W ER - IY - ER Z
WORRIES  W ER - IY Z
WORRISOME  W ER - IY - S AH M
WORRYING  W ER - IY - IH NG
WORSE  W ER S
WORSECK  W ER - S EH K
WORSECK()  W AO R - S EH K
WORSEN  W ER - S AH N
WORSENED  W ER - S AH N D
WORSENING  W ER - S AH N - IH NG
WORSENING()  W ER S - N IH NG
WORSENS  W ER - S AH N Z
WORSHAM  W ER - SH AH M
WORSHIPED  W ER - SH IH P T
WORSHIPERS  W ER - SH IH - P ER Z
WORSHIPFUL  W ER - SH AH P - F AH L
WORSHIPPED  W ER - SH AH P T
WORSHIPPERS  W ER - SH IH - P ER Z
WORSHIPPING  W ER - SH AH - P IH NG
WORSHIPS  W ER - SH AH P S
WORSLEY  W ER S - L IY
WORST  W ER S T
WORSTED  W ER - S T IH D
WORSTELL  W ER - S T AH L
WORTH  W ER TH
WORTH'S  W ER TH S
WORTHAM  W ER - TH AH M
WORTHEN  W ER - TH AH N
WORTHEN'S  W ER - TH AH N Z
WORTHEY  W ER - DH IY
WORTHIER  W ER - DH IY - ER
WORTHIES  W ER - DH IY Z
WORTHIEST  W ER - DH IY - AH S T
WORTHINESS  W ER - DH IY - N IH S
WORTHING  W ER - TH IH NG
WORTHINGTON  W ER - DH IH NG - T AH N
WORTHLESS  W ER TH - L AH S
WORTHMAN  W ER TH - M AH N
WORTHS  W ER TH S
WORTHWHILE  W ER TH - W AY L
WORTHY  W ER - DH IY
WORTMAN  W ER T - M AH N
WORTMANN  W ER T - M AH N
WORTON  W ER - T AH N
WORTS  W ER T S
WOTAN  W OW - T AH N
WOTHERSPOON  W AH - DH ER - S P UW N
WOTRING  W AA - T ER - IH NG
WOTTON  W AA - T AH N
WOUK  W UW K
WOUK()  W OW K
WOULD  W UH D
WOULD'VE  W UH - D AH V
WOULDN'T  W UH - D AH N T
WOULFE  W AW L F
WOUND  W AW N D
WOUNDED  W UW N - D AH D
WOUNDED()  W UW N - D IH D
WOUNDING  W UW N - D IH NG
WOUNDS  W UW N D Z
WOUTERS  W AW - T ER Z
WOVE  W OW V
WOW  W AW
WOW'S  W AW Z
WOWED  W AW D
WOWIE  W AW - IY
WOWS  W AW Z
WOY  W OY
WOZNIAK  V AA Z - N IY - AE K
WOZNICK  W AA Z - N IH K
WOZNICKI  V AH Z - N IH T S - K IY
WOZNY  W AA Z - N IY
WRACKED  R AE K T
WRACKING  R AE - K IH NG
WRAGE  R EY JH
WRAGG  R AE G
WRANGLED  R AE NG - G AH L D
WRANGLER  R AE NG - G AH - L ER
WRANGLER()  R AE NG - G L ER
WRANGLERS()  R AE NG - G L ER Z
WRANGLES  R AE NG - G AH L Z
WRANGLING  R AE NG - G AH - L IH NG
WRANGLING()  R AE NG - G L IH NG
WRAP  R AE P
WRAPPED  R AE P T
WRAPPER  R AE - P ER
WRAPPERS  R AE - P ER Z
WRAPPING  R AE - P IH NG
WRAPUP  R AE - P AH P
WRATHER  R AE - DH ER
WRAY  R EY
WREAK  R IY K
WREAKED  R IY K T
WREAKING  R IY - K IH NG
WREAKS  R IY K S
WREATH  R IY TH
WREATHS  R IY TH S
WREATHS()  R IY DH Z
WRECK  R EH K
WRECKAGE()  R EH - K IH JH
WRECKED  R EH K T
WRECKER  R EH - K ER
WRECKING  R EH - K IH NG
WRECKS  R EH K S
WREDE  R IY D
WREN  R EH N
WRENCH  R EH N CH
WRENCHED  R EH N CH T
WRENCHES  R EH N - CH IH Z
WRENCHING  R EH N - CH IH NG
WRENN  R EH N
WREST  R EH S T
WRESTED  R EH - S T IH D
WRESTING  R EH - S T IH NG
WRESTLE  R EH - S AH L
WRESTLER  R EH - S AH - L ER
WRESTLERS()  R EH - S AH - L ER Z
WRESTLES  R EH - S AH L Z
WRESTLING  R EH - S L IH NG
WRESTLING()  R EH - S AH - L IH NG
WRETCHED  R EH - CH IH D
WRETCHEDLY  R EH - CH IH D - L IY
WRICE  R AY S
WRIGGLE  R IH - G AH L
WRIGHT  R AY T
WRIGHT'S  R AY T S
WRIGHTS  R AY T S
WRIGHTSMAN  R AY T S - M AH N
WRIGHTSON  R AY T - S AH N
WRIGLEY  R IH G - L IY
WRIGLEY'S  R IH - G L IY Z
WRINGER  R IH - NG ER
WRINGING  R IH - NG IH NG
WRINKLED  R IH NG - K AH L D
WRINKLING  R IH NG - K AH L - IH NG
WRINKLING()  R IH NG - K L IH NG
WRISLEY  R IH Z - L IY
WRISTON  R IH - S T AH N
WRISTS  R IH S T S
WRISTWATCH  R IH S T - W AA CH
WRISTWATCHES  R IH S T - W AA - CH IH Z
WRIT  R IH T
WRITE  R AY T
WRITEDOWN  R AY T - D AW N
WRITEDOWNS  R AY T - D AW N Z
WRITEOFF  R AY - T AO F
WRITEOFFS  R AY - T AO F S
WRITER  R AY - T ER
WRITER'S  R AY - T ER Z
WRITERS'  R AY - T ER Z
WRITHE  R IH TH
WRITHING  R AY - DH IH NG
WRITING  R AY - T IH NG
WRITINGS  R AY - T IH NG Z
WRITTEN  R IH - T AH N
WROBEL  R OW - B AH L
WROBLESKI  R AH - B L EH S - K IY
WROBLEWSKI  R AH - B L UW F S - K IY
WROCLAW  R AA - K L AO
WRONA  R OW - N AH
WRONG  R AO NG
WRONGDOER  R AO NG - D UW - ER
WRONGDOERS  R AO NG - D UW - ER Z
WRONGDOING  R AO NG - D UW - IH NG
WRONGDOINGS  R AO NG - D UW - IH NG Z
WRONGFUL  R AO NG - F AH L
WRONGFULLY  R AO NG - F AH - L IY
WRONGLY  R AO NG - L IY
WRONGS  R AO NG Z
WROTE  R OW T
WROTEN  R OW - T AH N
WROUGHT  R AO T
WRUBEL  R UW - B AH L
WRUCK  R AH K
WRUNG  R AH NG
WRYE  R AY
WRYNESS  R AY - N AH S
WRZESINSKI  R AH - Z IH - S IH N - S K IY
WS  D AH - B AH L - Y UW - EH S
WS()  D AH - B Y AH - EH S
WU'S  W UW Z
WU()  D AH - B AH L - Y UW - Y UW
WU(3)  D AH - B Y AH - Y UW
WUELLNER  W UH L - N ER
WUERTH  W UH R TH
WUERTTEMBERG  W ER - T AH M - B ER G
WUERTZ  W UH R T S
WUHAN  W UW - AH N
WUJCIK  W AH JH - S IH K
WULF  W UH L F
WULFF  W UH L F
WUNDER  W AH N - D ER
WUNDERKIND  W AH N - D ER - K AY N D
WUNDERKIND()  W AH N - D ER - K IH N D
WUNDERLE  W AH N - D ER - L IY
WUNDERLICH  W AH N - D ER - L IH K
WUNSCHEL  W AH N - SH AH L
WURDEMAN  W ER D - M AH N
WURL  W ER L
WURLITZER  W ER - L IH T - S ER
WURM  W ER M
WURST  W ER S T
WURSTHAUS  W ER S T - HH AW S
WURTH  W ER TH
WURTMAN  W ER T - M AH N
WURTZ  W ER T S
WURTZEL  W ER T - Z AH L
WURZ  W ER Z
WURZEL  W ER - Z AH L
WURZER  W ER - Z ER
WUSS  W AH S
WUSSLER  W AH S - L ER
WUSSOW  W AH - S OW
WUTHERING  W AH - DH ER - IH NG
WUTHRICH  W AH - TH R IH K
WUTTKE  W AH T - K IY
WUXI  W AH K - S IY
WUYDA  W OY - D AH
WY  W EY
WYAND  W AY - AH N D
WYANT  W AY - AH N T
WYBLE  W AY - B AH L
WYBORN  V IH - B ER N
WYCHE  W AY CH
WYCKOFF  W IH K - AO F
WYCLIFF  W IH K - L IH F
WYDEN  W AY D
WYDEN  W AY - D AH N
WYDRA  W AY - D R AH
WYE  W AY
WYER  W AY - ER
WYETH  W AY - EH TH
WYGOD  W AY - G AA D
WYK  W IH K
WYKA  V IH - K AH
WYKE  W AY K
WYKES  W AY K S
WYKLE  W AY - K AH L
WYKOFF  W IH K - AO F
WYLDE  W AY L D
WYLE  W AY L
WYLES  W AY L Z
WYLIE  W AY - L IY
WYLLIE  W IH - L IY
WYLMA  W AY L - M AH
WYLY  W AY - L IY
WYMAN  W AY - M AH N
WYMER  W AY - M ER
WYMORE  W AY - M AO R
WYNDHAM  W IH N - D AH M
WYNE  W AY N
WYNER  W AY - N ER
WYNES  W AY N Z
WYNETTE  W IH - N EH T
WYNETTE()  HH W IH - N EH T
WYNGAARDEN  W IH N - G AA R - D AH N
WYNIA  W IH - N IY - AH
WYNKOOP  W IH NG - K UW P
WYNN  W IH N
WYNN'S  W IH N Z
WYNONA()  HH W AY - N OW - N AH
WYNTER  W IH N - T ER
WYNTON  W IH N - T AH N
WYNYARD  W IH N - Y ER D
WYOMING'S  W AY - OW - M IH NG Z
WYRICK  W IH - R IH K
WYSE  W AY Z
WYSE'S  W AY - Z IH Z
WYSER  W AY - Z ER
WYSOCKI  V IH - S OW T S - K IY
WYSOCKI()  V IH - S AA T S - K IY
WYSONG  W IH - S AO NG
WYSS  W IH S
X  EH K S
X-RAY  EH K - S R EY
X-RAYS  EH K - S R EY Z
X.'S  EH K - S IH Z
X.()  AE K S
X.ERS  EH K - S ER Z
X.S  EH K - S IH Z
XANAX  Z AE - N AE K S
XANTHE  Z AE N DH
XANTIPPE  Z AE N - T IH P
XAVIER  Z EY - V Y ER
XAVIERA  IH G - Z EY - V Y EH - R AH
XEBEC  Z EH - B AH K
XENA  Z IY - N AH
XENE  Z IY N
XENON  Z IY - N AA N
XENOPHOBIA  Z EH - N AH - F OW - B IY - AH
XENOPHOBIC  Z EH - N AH - F AA - B IH K
XENOPHON  Z EH - N AH - F AH N
XENOS  Z IY - N OW Z
XERISCAPE  Z EH - R IH - S K EY P
XEROX'S  Z IH - R AA K - S IH Z
XEROXED  Z IH - R AA K S T
XEROXES  Z IH - R AA K - S IH Z
XERS  EH K - S EH R Z
XERS()  K S EH R Z
XERS(3)  EH K - S IY - AA - R EH S
XERXES  Z ER K - S IY Z
XI  SH IY
XIAMEN  Z IY - EY - M AH N
XIAN  Z Y AA N
XIAOGANG  ZH AW - G AE NG
XIAOPING  ZH AW - P IH NG
XIAOPING'S  ZH AW - P IH NG Z
XIAOYUN  SH AW - Y UW N
XICOR  Z AY - K AO R
XIE  Z IY
XILINX  Z AY - L IH NG K S
XING  SH IH NG
XINHUA  Z IH N - HH Y UW - AH
XINJIANG  Z IH N - JH IY - AE NG
XIONG  ZH AO NG
XOMA  Z OW - M AH
XOMA'S()  IH G - Z OW - M AH Z
XOMA'S(3)  EH K - S OW - M AH Z
XOMA()  IH G - Z OW - M AH
XOMA(3)  EH K - S OW - M AH
XSCRIBE  EH K - S K R AY B
XTRA  EH K - S T R AH
XU  Z UW
XUAN  ZH W AA N
XUDONG  Z UW - D AO NG
XUE  Z UW
XUEDONG  Z UW - D AO NG
XUS  Z AH S
XYLIA  Z AY - L IY - AH
XYLINA  Z AY - L IH - N AH
XYLOGIC  Z AY - L AA - JH IH K
XYLOGICS  Z AY - L AA - JH IH K S
XYLON  Z AY - L AH N
XYLONA  Z AY - L AH - N AH
XYLOPHONE  Z AY - L AH - F OW N
XYVISION  Z AY - V IH - ZH AH N
Y.'S  W AY Z
YAACOV  Y AA - K OW V
YABBA  Y AE - B AH
YABLON  Y AE - B L AH N
YABLONSKI  Y AH - B L AA N - S K IY
YABLONSKY  Y AH - B L AA N - S K IY
YACHT  Y AA T
YACHTER  Y AA - T ER
YACHTERS  Y AA - T ER Z
YACHTING  Y AA - T IH NG
YACHTING'S  Y AA - T IH NG Z
YACHTS  Y AA T S
YACHTSMAN  Y AA T S - M AH N
YACK  Y AE K
YACKEL  Y AE - K AH L
YACKLEY  Y AE K - L IY
YACKO  Y AE - K OW
YACKTMAN  Y AE K T - M AH N
YACONO  Y AE - K AH - N OW
YACOS  Y AA - K OW S
YACOUB  Y AE - K AW B
YADEN  Y EY - D AH N
YADON  Y AE - D AH N
YAEGER  Y IY - JH ER
YAFFE  Y AE F
YAGODA  Y AH - G OW - D AH
YAH  Y AA
YAHI  Y AA - HH IY
YAHN  Y AE N
YAHOO  Y AA - HH UW
YAHOOS  Y AA - HH UW Z
YAHR  Y AA R
YAHWEH  Y AA - W EH
YAKE  Y EY K
YAKIMA  Y AE - K IH - M AH
YAKLIN  Y AE K - L IH N
YAKOV  Y AA - K AO V
YAKOVLEV()  Y AA - K AH - V L EH V
YAKUSA  Y AH - K UW - Z AH
YAKUTAKAY  Y AH - HH UW - T AH - K EY
YALE'S  Y EY L Z
YALIN  Y AA - L IH N
YALTA  Y AO L - T AH
YAM  Y AE M
YAMADA  Y AH - M AA - D AH
YAMAGATA  Y AA - M AA - G AA - T AH
YAMAHA  Y AA - M AA - HH AA
YAMAICHI  Y AA - M AA - IY - CH IY
YAMAICHI'S  Y AA - M AA - IY - CH IY Z
YAMANAKA  Y AA - M AA - N AA - K AH
YAMANE  Y AA - M AA - N EY
YAMANE()  Y AH - M AA - N IY
YAMANI  Y AA - M AA - N IY
YAMANOUCHI  Y AA - M AA - N UW - CH IY
YAMASAKI  Y AA - M AA - S AA - K IY
YAMASHIRO  Y AA - M AA - SH IH - R OW
YAMASHITA  Y AA - M AA - SH IY - T AH
YAMATAKE  Y AA - M AA - T AA - K EY
YAMATO  Y AA - M AA - T OW
YAMAUCHI  Y AA - M AA - UW - CH IY
YAMAUCHI'S  Y AA - M AA - UW - CH IY Z
YAMAZAKI  Y AA - M AA - Z AA - K IY
YAMIN  Y AE - M IH N
YAMS  Y AE M Z
YAN  Y AE N
YAN-BIN  Y AA N - B IH N
YANBU  Y AE N - B UW
YANCEY  Y AE N - S IY
YANDA  Y AE N - D AH
YANDELL  Y AE N - D AH L
YANDLE  Y AE N - D AH L
YANDOW  Y AE N - D OW
YANES  Y EY N Z
YANEY  Y EY - N IY
YANEZ  Y AE - N IH Z
YANG  Y AE NG
YANGTZE  Y AE NG K T - S IY
YANI  Y AA - N IY
YANIK  Y AE - N IH K
YANIS  Y AE - N AH S
YANISH  Y AE - N IH SH
YANK  Y AE NG K
YANKE  Y AE NG K
YANKED  Y AE NG K T
YANKEE  Y AE NG - K IY
YANKEE'S  Y AE NG - K IY Z
YANKEES'  Y AE NG - K IY Z
YANKELOVICH  Y AE NG - K EH - L AH - V IH CH
YANKING  Y AE NG - K IH NG
YANKO  Y AE NG - K OW
YANKS  Y AE NG K S
YANNICK  Y AE - N IH K
YANNONE  Y AE - N AH N
YANNUZZI  Y AA - N UW T - S IY
YANOMAMI()  Y AA - N OW - M AA - M IY
YANT  Y AE N T
YANTIS  Y AE N - T IH S
YAOBANG  Y AW - B AE NG
YAOHAN  Y AW - HH AA N
YAPLE  Y EY - P AH L
YAPP  Y AE P
YARBER  Y AA R - B ER
YARBORO  Y AA R - B ER - OW
YARBOROUGH  Y AA R - B ER - OW
YARBOUGH  Y AA R - B AW
YARBRO  Y AA R - B R OW
YARBROUGH  Y AA R - B ER - OW
YARCHOAN  Y AA R - CH OW N
YARD  Y AA R D
YARDAGE  Y AA R - D IH JH
YARDE  Y AA R D
YARDENI  Y AA R - D IY - N IY
YARDER  Y AA R - D ER
YARDS  Y AA R D Z
YARDSTICKS  Y AA R D - S T IH K S
YARGER  Y AA R - JH ER
YARLING  Y AA R - L IH NG
YARMULKE()  Y AA R - M AH - K AH
YARMULKES()  Y AA R - M AH - K AH S
YARN  Y AA R N
YARNALL  Y AA R - N AH L
YARNS  Y AA R N Z
YARON  Y EH - R AH N
YARROW  Y EH - R OW
YARROW()  Y AA - R OW
YASIN  Y AE - S IH N
YASIR  Y AA - S ER
YASIR()  Y AA - S IH R
YASMIN  Y AE Z - M IH N
YASS  Y AE S
YASSER  Y AE - S ER
YASSER'S  Y AE - S ER Z
YASSER'S()  Y AA - S ER Z
YASSER()  Y AA - S ER
YASSIR  Y AE - S IH R
YASSIR'S  Y AE - S IH R Z
YASSIR()  Y AA - S IH R
YASSO  Y AA - S OW
YASSUKOVICH  Y AH - S UW - K AH - V IH CH
YASTROW  Y AE - S T R OW
YASUDA  Y AA - S UW - D AH
YASUHIKO  Y AA - S UW - HH IY - K OW
YASUHIRO  Y AA - S UW - HH IY - R OW
YASUNORI  Y AA - S UW - N AO - R IY
YASUO  Y AA - S UW - OW
YASUSHI  Y AA - S UW - SH IY
YASUTAKA  Y AA - S UW - T AA - K AH
YASUYOSHI  Y AA - S UW - Y OW - SH IY
YATER  Y EY - T ER
YATES  Y EY T S
YAUGER  Y AO - JH ER
YAUN  Y AO N
YAUPON  Y AO - P AH N
YAUPONS  Y AO - P AH N Z
YAVLINSKY  Y AE V - L IH N - S K IY
YAWN  Y AO N
YAWNING  Y AO - N IH NG
YAWNS  Y AO N Z
YAWORSKI  Y AH - W ER S - K IY
YAX  Y AE K S
YAY  Y EY
YAZOV  Y AE - Z AA V
YAZOV()  Y AA - Z AO V
YAZZIE  Y AE - Z IY
YBANEZ  IY - B AE - N IH Z
YBARRA  IY - B AA - R AH
YDSTIE  Y IH D - S T IY
YDSTIE'S  Y IH D - S T IY Z
YDSTIE'S()  IH D - S T IY Z
YDSTIE()  IH D - S T IY
YE  Y IY
YE()  Y EH
YEA  Y EY
YEADON  Y EH - D AH N
YEAGLE  Y IY - G AH L
YEAH  Y AE
YEAKEY  Y IY - K IY
YEAKLE  Y IY - K AH L
YEAKLEY  Y IY K - L IY
YEAMAN  Y IY - M AH N
YEAMANS  Y IY - M AH N Z
YEAR  Y IH R
YEAR'S  Y IH R Z
YEARAGO  Y IH - R AH - G OW
